video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
32,"Based on the visual evidence, what are the prevailing weather and lighting conditions?",Weather & Light,"Nighttime with artificial street lighting, and the presence of roadside snow suggests winter conditions with a potential for icy roads.",,,,Which statement best describes the traffic environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and sidewalks.,,,,What is the configuration of the road from the perspective of the ego vehicle?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,,,,How would you classify the type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the red SUV impacts the side of the silver sedan.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The silver sedan executed an improper and abrupt left turn/U-turn from the far-right lane without yielding to traffic.,,,,What action by the silver sedan's driver could have most effectively prevented this collision?,Accident Prevention,Refraining from making the sudden turn and instead proceeding to a proper intersection or designated area to turn safely.,,,
33,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.",,,,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",,,,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,,,,What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding",,,,What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,,,
42,"Based on the video, what were the primary weather and road surface conditions at the time of the accident?",Weather & Light,"Daytime with good visibility, but the road was covered in snow and ice, making it extremely slippery.",,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,A residential or urban street with snow piled up on the sides and cars parked along the road.,,,,What is the configuration of the road shown in the video?,Road Configuration,"A two-way, two-lane road where lane markings are not visible due to snow cover.",,,,How would you classify the type of collision that occurs in the video?,Accident Type,A loss-of-control accident where the ego vehicle swerved to avoid an oncoming vehicle and spun out.,,,,What was the most significant contributing factor to this accident?,Accident Cause,"An oncoming vehicle suddenly changed lanes into the ego vehicle's path, forcing a dangerous evasive maneuver on the icy road.",,,,Which of the following actions by the driver of the dark car would have been most effective in preventing this accident?,Accident Prevention,The oncoming vehicle should have stayed in its own lane and avoided making a sudden lane change.,,,
62,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,"Daylight with overcast skies, and the road is wet and potentially icy due to snow.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban arterial road with moderate traffic flow.,,,,What is the physical configuration of the road where the accident occurs?,Road Configuration,"A two-way, multi-lane road with no physical median or barrier separating opposing traffic.",,,,What type of collision occurs in this video?,Accident Type,A sideswipe/angle collision initiated by the right-side vehicle suddenly cutting into the recording vehicle's lane.,,,,What is the primary and most direct cause of this accident?,Accident Cause,"The vehicle on the right side executed a sudden, unsignaled lane change, cutting directly in front of the recording vehicle.",,,,What action would have most effectively prevented this collision?,Accident Prevention,"The driver of the right-side vehicle should have avoided making a sudden lane change, checked mirrors, and signaled before merging.",,,
66,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.",,,,What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,,,,What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.",,,,What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,,,,Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,,,
74,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.",,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.",,,,What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though",,,,How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,,,,Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,,,
78,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime,dusk/down with basic light  vercast sky, wet road surface, and snow on the roadside.",,,,n what type of traffic environment did the initial conflict that led to the crash occur?,Traffic Environment,On a rural high-speed highway with no intersections.,,,,What is the configuration of the main road shown in the video,Road Configuration,"A two-way road with multiple lanes, separated by double solid yellow lines.",,,,What was the final and most severe type of collision that occurred as a result?,Accident Type,"A rear-end collision, where the sedan in reverse was hit by the white van.",,,,What was the primary action that initiated the chain of events leading to the collision?,Accident Cause,The driver of the white sedan unsafely blocked the main road and get ou of control,,,,Which action by one of the drivers could have most effectively prevented this entire accident sequence from happening?,Accident Prevention,The sedan should not turn at the highway,,,
117,"Based on the video, what weather or lighting condition significantly impacts the driving environment?",Weather & Light,"The sun is low in the sky, creating strong glare and backlighting.",,,,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,"An urban multi-lane main road with a bus stop area, but no pedestrian crosswalk present.",,,,What best describes the road section where the front vehicle brakes suddenly in this video?,Road Configuration,"A section of multi-lane road near a bus stop, with no pedestrian crosswalk present.",,,,What type of collision occurs between the recording vehicle and the vehicle in front?,Accident Type,A rear-end collision.,,,,What is the primary cause of this rear-end collision?,Accident Cause,The recording vehicle failed to maintain a safe following distance from the car ahead.,,,,"What action could the driver of the recording vehicle have taken to prevent this accident, especially considering the visual conditions?",Accident Prevention,Maintaining a greater following distance to allow for more reaction time.,,,
125,"Based on the visual information in the video, what are the prevailing weather and road conditions?",Weather & Light,"Daytime, winter with snow covering the ground and roadsides, and slippery snow/slush road surface.",,,,Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,A multi-lane urban road with moderate traffic and buildings alongside.,,,,What is the configuration of the road in the direction the recording vehicle is traveling?,Road Configuration,A road with at least two lanes for the direction of travel.,,,,What type of collision occurs in the video?,Accident Type,A sideswipe collision resulting from an unsafe lane change.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The white van executed a sudden lane change without checking for or yielding to traffic in the adjacent lane.,,,,What key action by the white van's driver would have most effectively prevented this collision?,Accident Prevention,Maintaining a sufficient following distance from the vehicle ahead and ensuring the adjacent lane was clear before moving over.,,,
134,"Based on the visual evidence in the video, what are the prevailing weather and road surface conditions?",Weather & Light,Daytime with overcast skies and a wet road surface.,,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,A multi-lane urban arterial road approaching a signalized intersection.,,,,"Regarding the road layout at the point of impact, what can be observed?",Road Configuration,The collision occurs at a multi-lane urban intersection controlled by traffic signals.,,,,What is the specific type of collision shown in the video?,Accident Type,A T-bone (side-impact) collision between two vehicles at an intersection.,,,,"What is the primary, initiating cause of this accident?",Accident Cause,The driver of one vehicle ran a red light or failed to yield the right-of-way at the intersection.,,,,Which of the following actions would have been most effective in preventing this collision?,Accident Prevention,The at-fault driver should have observed and obeyed the traffic signal before entering the intersection.,,,
136,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Snowy daytime with overcast skies and significant snow accumulation on the roadsides.,,,,Which of the following best describes the traffic environment and road surface conditions?,Traffic Environment,"An urban area with multi-lane roads covered in slush and melted snow, creating very slippery conditions.",,,,What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane urban arterial road with at least two lanes per direction,,,,How would you classify the sequence of events leading to the collision?,Accident Type,"A rear-end collision, the POV car hit the front car",,,,What was the most likely primary cause for the incident?,Accident Cause,A sudden turn of the front car to take passenger,,,,What would have been the most effective action to prevent this accident?,Accident Prevention,The front car driver wait for the video car to pass before starting the maneuver.,,,
