video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
32,,,,"Based on the visual evidence, what are the prevailing weather and lighting conditions?",Weather & Light,"Nighttime with artificial street lighting, and the presence of roadside snow suggests winter conditions with a potential for icy roads.","Dusk during a heavy rainstorm, with wet roads causing significant glare from headlights.","Daylight hours with heavy fog, leading to severely reduced visibility for all drivers.","Nighttime on an unlit rural road, with visibility limited to the range of the vehicle's headlights.",Which statement best describes the traffic environment where the accident occurred?,Traffic Environment,An urban multi-lane main road with commercial buildings and sidewalks.,A residential street with low speed limits and cars parked on both sides.,A controlled-access freeway or expressway with high-speed traffic and exit ramps.,A rural two-lane highway with no streetlights and surrounded by countryside.,What is the configuration of the road from the perspective of the ego vehicle?,Road Configuration,A multi-lane road with at least two lanes for traffic moving in the same direction.,"A single-lane, two-way road where vehicles must share one lane for each direction.",A roundabout or traffic circle designed to manage traffic at an intersection.,A one-way street that is merging into a major highway.,How would you classify the type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the red SUV impacts the side of the silver sedan.","A rear-end collision, where the red SUV struck the back of the silver sedan.","A head-on collision, where the two vehicles collided front-to-front.","A sideswipe collision, where the two vehicles scraped against each other while traveling in parallel.",What was the primary and most direct cause of this accident?,Accident Cause,The silver sedan executed an improper and abrupt left turn/U-turn from the far-right lane without yielding to traffic.,The red SUV was speeding excessively and was unable to stop in time for the slowing traffic ahead.,The slippery road conditions from ice caused the red SUV to lose control and slide into the adjacent lane.,Both drivers failed to see each other due to the glare from streetlights and a shared blind spot.,What action by the silver sedan's driver could have most effectively prevented this collision?,Accident Prevention,Refraining from making the sudden turn and instead proceeding to a proper intersection or designated area to turn safely.,Honking the horn loudly to warn the red SUV before starting the turn.,Completing the turn at a much higher speed to clear the lane before the SUV arrived.,Turning on the hazard lights (flashers) moments before initiating the turn to signal an unusual maneuver.
33,33,7,,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.",,,,Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",,,,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,,,,What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding",,,,What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,,,
42,,,,"Based on the video, what were the primary weather and road surface conditions at the time of the accident?",Weather & Light,"Daytime with good visibility, but the road was covered in snow and ice, making it extremely slippery.","Nighttime with heavy snowfall, leading to poor visibility and a freshly covered road.","Daytime during a heavy rainstorm, causing wet roads and hydroplaning risks.","A clear, sunny day with dry road pavement, but with strong crosswinds affecting vehicle stability.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,A residential or urban street with snow piled up on the sides and cars parked along the road.,"A multi-lane highway with a median strip, experiencing heavy, fast-moving traffic.","A rural, unpaved country road surrounded by open fields and no buildings.","A busy downtown intersection with traffic lights, crosswalks, and heavy pedestrian flow.",What is the configuration of the road shown in the video?,Road Configuration,"A two-way, two-lane road where lane markings are not visible due to snow cover.",A one-way street with three lanes of traffic moving in the same direction.,A T-intersection controlled by a stop sign for the joining road.,A multi-lane roundabout with clearly marked entry and exit points.,How would you classify the type of collision that occurs in the video?,Accident Type,A loss-of-control accident where the ego vehicle swerved to avoid an oncoming vehicle and spun out.,"A head-on collision, where two vehicles traveling in opposite directions crash front to front.","A rear-end collision, where the approaching car fails to stop and hits the back of a parked car.","A sideswipe collision, where the two vehicles make contact while traveling parallel to each other.",What was the most significant contributing factor to this accident?,Accident Cause,"An oncoming vehicle suddenly changed lanes into the ego vehicle's path, forcing a dangerous evasive maneuver on the icy road.",The driver of the ego vehicle was traveling at an unsafe speed for the icy road conditions.,"A sudden mechanical failure, such as a tire blowout or brake failure, on the ego vehicle.","An animal or pedestrian suddenly ran onto the road, forcing the driver to swerve.",Which of the following actions by the driver of the dark car would have been most effective in preventing this accident?,Accident Prevention,The oncoming vehicle should have stayed in its own lane and avoided making a sudden lane change.,The ego vehicle driver should have reduced speed significantly on the icy road to allow more reaction time.,Honking the horn to alert the oncoming vehicle of the danger.,Steering sharply to avoid the oncoming vehicle at all costs.
62,,,,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,"Daylight with overcast skies, and the road is wet and potentially icy due to snow.","Nighttime with heavy snowfall, making visibility extremely poor.","A bright sunny day, but the road is wet from recently melted snow.","Dawn, with foggy conditions and a completely dry road surface.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban arterial road with moderate traffic flow.,A rural two-lane country road with very light traffic.,A highway in a mountainous area with sharp curves.,A congested one-way street in a downtown commercial district.,What is the physical configuration of the road where the accident occurs?,Road Configuration,"A two-way, multi-lane road with no physical median or barrier separating opposing traffic.",A one-way street with multiple lanes for traffic moving in the same direction.,A two-way road with a raised concrete median separating the opposing lanes.,A T-intersection controlled by traffic lights where the accident took place.,What type of collision occurs in this video?,Accident Type,A sideswipe/angle collision initiated by the right-side vehicle suddenly cutting into the recording vehicle's lane.,A rear-end collision caused by the white car failing to stop in time.,A sideswipe collision that occurred while both cars were attempting to change lanes.,A classic head-on collision where both vehicles drifted towards the center line.,What is the primary and most direct cause of this accident?,Accident Cause,"The vehicle on the right side executed a sudden, unsignaled lane change, cutting directly in front of the recording vehicle.",The driver of the recording vehicle was distracted and drifted into the adjacent lane.,A sudden mechanical failure caused the recording vehicle to lose control.,The red car ran a red light and collided with the recording vehicle.,What action would have most effectively prevented this collision?,Accident Prevention,"The driver of the right-side vehicle should have avoided making a sudden lane change, checked mirrors, and signaled before merging.",Honking the horn to warn the oncoming traffic of the potential danger.,Activating the vehicle's hazard lights while maintaining the same speed.,Following the car in front more closely.
66,30,6,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.",,,,What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,,,,What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.",,,,What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,,,,Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,,,
74,30,9,,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.",,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.",,,,What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though",,,,How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,,,,Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,,,
78,30,6,,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime,dusk/down with basic light  vercast sky, wet road surface, and snow on the roadside.",,,,n what type of traffic environment did the initial conflict that led to the crash occur?,Traffic Environment,On a rural high-speed highway with no intersections.,,,,What is the configuration of the main road shown in the video,Road Configuration,"A two-way road with multiple lanes, separated by double solid yellow lines.",,,,What was the final and most severe type of collision that occurred as a result?,Accident Type,"A rear-end collision, where the sedan in reverse was hit by the white van.",,,,What was the primary action that initiated the chain of events leading to the collision?,Accident Cause,The driver of the white sedan unsafely blocked the main road and get ou of control,,,,Which action by one of the drivers could have most effectively prevented this entire accident sequence from happening?,Accident Prevention,The sedan should not turn at the highway,,,
104,,,,,Weather & Light,,,,,,Traffic Environment,,,,,,Road Configuration,,,,,,Accident Type,,,,,,Accident Cause,,,,,,Accident Prevention,,,,
117,,,,"Based on the video, what weather or lighting condition significantly impacts the driving environment?",Weather & Light,"The sun is low in the sky, creating strong glare and backlighting.",Heavy rain is causing slippery roads and poor visibility.,The scene is at dusk with insufficient street lighting.,"Dense fog is present, obscuring the view of the road ahead.",Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,"An urban multi-lane main road with a bus stop area, but no pedestrian crosswalk present.",A high-speed expressway with no pedestrians or intersections.,A narrow rural road surrounded by fields and forests.,A residential area with a school zone and parked cars on both sides.,What best describes the road section where the front vehicle brakes suddenly in this video?,Road Configuration,"A section of multi-lane road near a bus stop, with no pedestrian crosswalk present.",A marked pedestrian crosswalk (zebra crossing) where a pedestrian is crossing.,A railway crossing with a descending barrier.,A T-junction requiring the front vehicle to stop and yield.,What type of collision occurs between the recording vehicle and the vehicle in front?,Accident Type,A rear-end collision.,A sideswipe collision while changing lanes.,A head-on collision with an oncoming vehicle.,A collision with the pedestrian on the crosswalk.,What is the primary cause of this rear-end collision?,Accident Cause,The recording vehicle failed to maintain a safe following distance from the car ahead.,The front vehicle performed an illegal and unpredictable brake-check.,A sudden and unavoidable mechanical failure of the recording vehicle's brakes.,"The pedestrian suddenly jaywalked into the path of the front car, causing an emergency stop.","What action could the driver of the recording vehicle have taken to prevent this accident, especially considering the visual conditions?",Accident Prevention,Maintaining a greater following distance to allow for more reaction time.,Honking continuously to alert the front driver to keep moving.,Quickly swerving into the left lane to avoid the car ahead.,Overtaking the front vehicle before it reached the pedestrian crosswalk.
125,,,,"Based on the visual information in the video, what are the prevailing weather and road conditions?",Weather & Light,"Daytime, winter with snow covering the ground and roadsides, and slippery snow/slush road surface.","Nighttime, during a heavy downpour, leading to flooded roads.","Daytime, bright and sunny, with completely dry road surfaces.","Dawn, with active, light snowfall and evidence of icy patches on the road.",Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,A multi-lane urban road with moderate traffic and buildings alongside.,A rural highway with very light traffic and open fields.,A congested city street experiencing a complete traffic standstill.,A secluded suburban road with no other moving vehicles in sight.,What is the configuration of the road in the direction the recording vehicle is traveling?,Road Configuration,A road with at least two lanes for the direction of travel.,A single-lane road for two-way traffic.,A major intersection controlled by traffic signals and crosswalks.,"A one-way street with a clearly marked, dedicated bicycle lane.",What type of collision occurs in the video?,Accident Type,A sideswipe collision resulting from an unsafe lane change.,A rear-end collision where the recording car hit a vehicle that was stopped in its lane.,A head-on collision with a vehicle traveling in the opposite direction.,A single-vehicle accident where the recording car lost control and skidded.,What was the primary and most direct cause of this accident?,Accident Cause,The white van executed a sudden lane change without checking for or yielding to traffic in the adjacent lane.,The recording vehicle was traveling at an excessive speed for the wet road conditions.,The slippery road surface caused the white van to hydroplane and lose control.,The driver of the recording vehicle was distracted and had a delayed reaction time.,What key action by the white van's driver would have most effectively prevented this collision?,Accident Prevention,Maintaining a sufficient following distance from the vehicle ahead and ensuring the adjacent lane was clear before moving over.,Honking the horn repeatedly to warn other drivers before making the lane change.,Driving significantly slower than the general flow of traffic to increase reaction time.,Upgrading the vehicle's brakes to a high-performance system for better stopping power.
